tick,lps,tnfAlfa,alfasin
1,0,300,0
2,0,300,0
3,0,300,0
4,0,300,0
5,0,300,0
6,0,300,0
7,0,300,0
8,0,300,0
9,0,300,0
10,0,300,0
11,0,300,0
12,0,300,0
13,0,300,0
14,0,300,0
15,0,300,0
16,0,300,0
17,0,300,0
18,0,300,0
19,0,300,0
20,0,300,0
21,0,300,0
22,0,300,0
23,0,300,0
24,0,300,0
25,0,300,0
26,0,300,0
27,0,300,0
28,0,300,0
29,0,300,0
30,0,300,0
31,0,300,0
32,0,300,0
33,0,300,0
34,0,300,0
35,0,300,0
36,0,300,0
37,0,300,0
38,0,300,0
39,0,300,0
40,0,300,0
41,0,300,0
42,0,300,0
43,0,300,0
44,0,300,0
45,0,300,0
46,0,300,0
47,0,300,0
48,0,300,0
49,0,300,0
50,0,300,0
51,0,300,0
52,0,300,0
53,0,300,0
54,0,300,0
55,0,300,0
56,0,300,0
57,0,300,0
58,0,300,0
59,0,300,0
60,0,300,0
61,0,300,0
62,0,300,0
63,0,300,0
64,0,300,0
65,0,300,0
66,0,300,0
67,0,300,0
68,0,300,0
69,0,300,0
70,0,300,0
71,0,300,0
72,0,300,0
73,0,300,0
74,0,300,0
75,0,300,0
76,0,300,0
77,0,300,0
78,0,300,0
79,0,300,0
80,0,300,0
81,0,300,0
82,0,300,0
83,0,300,0
84,0,300,0
85,0,300,0
86,0,300,0
87,0,300,0
88,0,300,0
89,0,300,0
90,0,300,0
91,0,300,0
92,0,300,0
93,0,300,0
94,0,300,0
95,0,300,0
96,0,300,0
97,0,300,0
98,0,300,0
99,0,300,0
100,0,300,0
101,0,300,0
102,0,300,0
103,0,300,0
104,0,300,0
105,0,300,0
106,0,300,0
107,0,300,0
108,0,300,0
109,0,300,0
110,0,300,0
111,0,300,0
112,0,300,0
113,0,300,0
114,0,300,0
115,0,300,0
116,0,300,0
117,0,300,0
118,0,300,0
119,0,300,0
120,0,300,0
121,0,300,0
122,0,300,0
123,0,300,0
124,0,300,0
125,0,300,0
126,0,300,0
127,0,300,0
128,0,300,0
129,0,300,0
130,0,300,0
131,0,300,0
132,0,300,0
133,0,300,0
134,0,300,0
135,0,300,0
136,0,300,0
137,0,300,0
138,0,300,0
139,0,300,0
140,0,300,0
141,0,300,0
142,0,300,0
143,0,300,0
144,0,300,0
145,0,300,0
146,0,300,0
147,0,300,0
148,10,300,0
149,20,300,0
150,30,300,0
151,40,300,0
152,50,300,0
153,60,300,0
154,70,300,0
155,80,300,0
156,90,300,0
157,100,300,0
158,110,300,0
159,120,300,0
160,130,300,0
161,140,300,0
162,150,300,0
163,160,300,0
164,170,300,0
165,180,300,0
166,190,300,1
167,200,300,1
168,210,300,1
169,220,300,2
170,230,300,3
171,240,300,3
172,250,300,3
173,260,300,4
174,270,300,5
175,280,300,5
176,290,300,6
177,300,300,8
178,310,300,9
179,320,300,10
180,330,300,11
181,340,300,12
182,350,300,13
183,360,300,15
184,370,300,17
185,380,300,17
186,390,300,19
187,400,300,20
188,400,300,21
189,400,300,22
190,400,300,22
191,400,300,23
192,400,300,26
193,400,300,27
194,400,300,28
195,400,300,29
196,400,300,27
197,400,300,28
198,400,300,30
199,400,300,30
200,400,300,28
201,400,300,28
202,400,300,28
203,400,300,29
204,400,300,25
205,400,300,26
206,400,300,26
207,400,300,27
208,400,300,22
209,400,300,25
210,400,300,26
211,400,300,28
212,400,300,20
213,400,300,25
214,400,300,28
215,400,300,29
216,400,300,23
217,400,300,25
218,400,300,26
219,400,300,27
220,400,300,28
221,400,300,29
222,400,300,29
223,400,300,28
224,400,300,28
225,400,300,28
226,400,300,28
227,400,300,28
228,400,300,29
229,400,300,29
230,400,300,30
231,400,300,31
232,400,300,22
233,400,300,23
234,400,300,28
235,400,300,28
236,400,300,28
237,400,300,30
238,400,300,22
239,400,300,23
240,400,300,25
241,400,300,27
242,400,300,29
243,400,300,22
244,400,300,26
245,400,300,28
246,400,300,28
247,400,300,29
248,400,300,29
249,400,300,29
250,400,300,31
251,400,300,35
252,400,300,35
253,400,300,29
254,400,300,30
255,400,300,21
256,400,300,21
257,400,300,24
258,400,300,25
259,400,300,27
260,400,300,23
261,400,300,27
262,400,300,28
263,400,300,29
264,400,300,33
265,400,300,29
266,400,300,25
267,400,300,26
268,400,300,28
269,400,300,28
270,400,300,29
271,400,300,29
272,400,300,30
273,400,300,32
274,400,300,23
275,400,300,24
276,400,300,27
277,400,300,29
278,400,300,32
279,400,300,33
280,400,300,31
281,400,300,34
282,400,300,36
283,400,300,39
284,400,300,42
285,400,300,37
286,400,300,34
287,400,300,29
288,400,300,23
289,400,300,28
290,400,300,28
291,400,300,29
292,400,300,24
293,400,300,25
294,400,300,28
295,400,300,22
296,400,300,24
297,400,300,27
298,400,300,24
299,400,300,26
300,400,300,24
301,400,300,26
302,400,300,28
303,400,300,28
304,400,300,28
305,400,300,29
306,400,300,31
307,400,300,25
308,400,300,27
309,400,300,28
310,400,300,20
311,400,300,22
312,400,300,26
313,400,300,28
314,400,300,29
315,400,300,27
316,400,300,26
317,400,300,27
318,400,300,27
319,400,300,22
320,400,300,25
321,400,300,29
322,400,300,24
323,400,300,26
324,400,300,31
325,400,300,30
326,400,300,22
327,400,300,24
328,400,300,28
329,400,300,29
330,400,300,23
331,400,300,23
332,400,300,23
333,400,300,25
334,400,300,26
335,400,300,28
336,400,300,25
337,400,300,26
338,400,300,29
339,400,300,21
340,400,300,22
341,400,300,24
342,400,300,26
343,400,300,28
344,400,300,29
345,400,300,29
346,400,300,29
347,400,300,29
348,400,300,24
349,400,300,27
350,400,300,27
351,400,300,24
352,400,300,25
353,400,300,26
354,400,300,29
355,400,300,24
356,400,300,24
357,400,300,25
358,400,300,26
359,400,300,27
360,400,300,28
361,400,300,25
362,400,300,25
363,400,300,26
364,400,300,26
365,400,300,29
366,400,300,21
367,400,300,23
368,400,300,25
369,400,300,25
370,400,300,26
371,400,300,27
372,400,300,27
373,400,300,28
374,400,300,29
375,400,300,21
376,400,300,24
377,400,300,24
378,400,300,25
379,400,300,29
380,400,300,26
381,400,300,29
382,400,300,24
383,400,300,26
384,400,300,27
385,400,300,31
386,400,300,26
387,400,300,21
388,400,300,24
389,400,300,29
390,400,300,26
391,400,300,23
392,400,300,24
393,400,300,29
394,400,300,30
395,400,300,29
396,400,300,32
397,400,300,27
398,400,300,24
399,400,300,26
400,400,300,26
401,400,300,28
402,400,300,28
403,400,300,23
404,400,300,24
405,400,300,25
406,400,300,29
407,400,300,23
408,400,300,28
409,400,300,28
410,400,300,28
411,400,300,29
412,400,300,32
