tick,lps,tnfAlfa,alfasin
1,0,300,0
2,0,300,0
3,0,300,0
4,0,300,0
5,0,300,0
6,0,300,0
7,0,300,0
8,0,300,0
9,0,300,0
10,0,300,0
11,0,300,0
12,0,300,0
13,0,300,0
14,0,300,0
15,0,300,0
16,0,300,0
17,0,300,0
18,0,300,0
19,0,300,0
20,0,300,0
21,0,300,0
22,0,300,0
23,0,300,0
24,0,300,0
25,0,300,0
26,0,300,0
27,0,300,0
28,0,300,0
29,0,300,0
30,0,300,0
31,0,300,0
32,0,300,0
33,0,300,0
34,0,300,0
35,0,300,0
36,0,300,0
37,0,300,0
38,0,300,0
39,0,300,0
40,0,300,0
41,0,300,0
42,0,300,0
43,0,300,0
44,0,300,0
45,0,300,0
46,0,300,0
47,0,300,0
48,0,300,0
49,0,300,0
50,0,300,0
51,0,300,0
52,0,300,0
53,0,300,0
54,0,300,0
55,0,300,0
56,0,300,0
57,0,300,0
58,0,300,0
59,0,300,0
60,0,300,0
61,0,300,0
62,0,300,0
63,0,300,0
64,0,300,0
65,0,300,0
66,0,300,0
67,0,300,0
68,0,300,0
69,0,300,0
70,0,300,0
71,0,300,0
72,0,300,0
73,0,300,0
74,0,300,0
75,0,300,0
76,0,300,0
77,0,300,0
78,0,300,0
79,0,300,0
80,0,300,0
81,0,300,0
82,0,300,0
83,0,300,0
84,0,300,0
85,0,300,0
86,0,300,0
87,0,300,0
88,0,300,0
89,0,300,0
90,0,300,0
91,0,300,0
92,0,300,0
93,0,300,0
94,0,300,0
95,0,300,0
96,0,300,0
97,0,300,0
98,0,300,0
99,0,300,0
100,0,300,0
101,0,300,0
102,0,300,0
103,0,300,0
104,0,300,0
105,0,300,0
106,0,300,0
107,0,300,0
108,0,300,0
109,0,300,0
110,0,300,0
111,0,300,0
112,0,300,0
113,0,300,0
114,0,300,0
115,0,300,0
116,0,300,0
117,0,300,0
118,0,300,0
119,0,300,0
120,0,300,0
121,0,300,0
122,0,300,0
123,0,300,0
124,0,300,0
125,0,300,0
126,0,300,0
127,0,300,0
128,0,300,0
129,0,300,0
130,0,300,0
131,0,300,0
132,0,300,0
133,0,300,0
134,0,300,0
135,0,300,0
136,0,300,0
137,0,300,0
138,0,300,0
139,0,300,0
140,0,300,0
141,0,300,0
142,0,300,0
143,0,300,0
144,0,300,0
145,0,300,0
146,0,300,0
147,0,300,0
148,10,300,0
149,20,300,0
150,30,300,0
151,40,300,0
152,50,300,0
153,60,300,0
154,70,300,0
155,80,300,0
156,90,300,0
157,100,300,0
158,110,300,0
159,120,300,0
160,130,300,0
161,140,300,0
162,150,300,1
163,160,300,2
164,170,300,2
165,180,300,3
166,190,300,3
167,200,300,5
168,210,300,6
169,220,300,7
170,230,300,9
171,240,300,10
172,250,300,12
173,260,300,15
174,270,300,17
175,280,300,18
176,290,300,20
177,300,300,20
178,310,300,21
179,320,300,23
180,330,300,25
181,340,300,26
182,350,300,27
183,360,300,29
184,370,300,29
185,380,300,29
186,390,300,30
187,400,300,23
188,400,300,26
189,400,300,29
190,400,300,23
191,400,300,28
192,400,300,29
193,400,300,24
194,400,300,25
195,400,300,25
196,400,300,28
197,400,300,28
198,400,300,28
199,400,300,29
200,400,300,23
201,400,300,24
202,400,300,25
203,400,300,26
204,400,300,28
205,400,300,31
206,400,300,30
207,400,300,28
208,400,300,28
209,400,300,29
210,400,300,29
211,400,300,24
212,400,300,25
213,400,300,25
214,400,300,26
215,400,300,27
216,400,300,28
217,400,300,29
218,400,300,29
219,400,300,24
220,400,300,25
221,400,300,27
222,400,300,27
223,400,300,29
224,400,300,26
225,400,300,29
226,400,300,29
227,400,300,24
228,400,300,25
229,400,300,25
230,400,300,27
231,400,300,27
232,400,300,29
233,400,300,29
234,400,300,29
235,400,300,29
236,400,300,27
237,400,300,29
238,400,300,22
239,400,300,23
240,400,300,26
241,400,300,29
242,400,300,24
243,400,300,26
244,400,300,23
245,400,300,26
246,400,300,28
247,400,300,29
248,400,300,28
249,400,300,20
250,400,300,25
251,400,300,26
252,400,300,27
253,400,300,27
254,400,300,28
255,400,300,29
256,400,300,31
257,400,300,23
258,400,300,26
259,400,300,28
260,400,300,29
261,400,300,29
262,400,300,28
263,400,300,29
264,400,300,29
265,400,300,29
266,400,300,22
267,400,300,25
268,400,300,27
269,400,300,28
270,400,300,33
271,400,300,35
272,400,300,32
273,400,300,30
274,400,300,34
275,400,300,34
276,400,300,40
277,400,300,40
278,400,300,33
279,400,300,25
280,400,300,29
281,400,300,22
282,400,300,24
283,400,300,27
284,400,300,29
285,400,300,27
286,400,300,27
287,400,300,27
288,400,300,29
289,400,300,29
290,400,300,30
291,400,300,29
292,400,300,25
293,400,300,27
294,400,300,28
295,400,300,28
296,400,300,28
297,400,300,28
298,400,300,20
299,400,300,20
300,400,300,22
301,400,300,23
302,400,300,23
303,400,300,24
304,400,300,24
305,400,300,26
306,400,300,28
307,400,300,30
308,400,300,31
309,400,300,29
310,400,300,29
311,400,300,29
312,400,300,29
313,400,300,31
314,400,300,28
315,400,300,32
316,400,300,33
317,400,300,33
318,400,300,32
319,400,300,28
320,400,300,29
321,400,300,24
322,400,300,28
323,400,300,29
324,400,300,29
325,400,300,32
326,400,300,25
327,400,300,26
328,400,300,27
329,400,300,28
330,400,300,24
331,400,300,27
332,400,300,24
333,400,300,25
334,400,300,25
335,400,300,29
336,400,300,28
337,400,300,27
338,400,300,28
339,400,300,22
340,400,300,25
341,400,300,26
342,400,300,28
343,400,300,22
344,400,300,26
345,400,300,24
346,400,300,27
347,400,300,29
348,400,300,23
349,400,300,24
350,400,300,25
351,400,300,27
352,400,300,28
353,400,300,29
354,400,300,29
355,400,300,29
356,400,300,26
357,400,300,27
358,400,300,28
359,400,300,28
360,400,300,24
361,400,300,25
362,400,300,27
363,400,300,29
364,400,300,27
365,400,300,30
366,400,300,32
367,400,300,31
368,400,300,29
369,400,300,30
370,400,300,33
371,400,300,30
372,400,300,28
373,400,300,32
374,400,300,33
375,400,300,29
376,400,300,22
377,400,300,24
378,400,300,27
379,400,300,28
380,400,300,23
381,400,300,26
382,400,300,29
383,400,300,29
384,400,300,28
385,400,300,27
386,400,300,28
387,400,300,26
388,400,300,30
389,400,300,25
390,400,300,27
391,400,300,25
392,400,300,25
393,400,300,28
394,400,300,27
395,400,300,28
396,400,300,28
397,400,300,29
398,400,300,28
399,400,300,29
400,400,300,23
401,400,300,24
402,400,300,24
403,400,300,25
404,400,300,26
405,400,300,28
406,400,300,21
407,400,300,22
408,400,300,23
409,400,300,26
410,400,300,27
411,400,300,29
412,400,300,31
